title,location,gps,description,date,webURI,copyright,imageSource,imageURI
Pinus Monophylla,,,""" Sage hens, grouse, and squirrels help tovary their wild diet of worms; pine nuts also from the small interesting Pinus monophylla, and good bread and good mush are made fromacorns and wild rye.""","August 21, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press, Page 48",by PurpleHz - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Single-leaf_pinyon_2.jpg,\Nature\PinusMonophylla_Single-leaf_pinyon_2.jpg
"Two-leaved Pine (Pinus contorta, var. Murrayana)",,,"""The flat is named after the two-leaved pine (Pinus contorta, var. Murrayana), common here, especially around the cool margin of the meadow. On rocky ground it is a rough, thickset tree, about forty to sixty feet high and one to three feet in diameter, bark thin and gummy, branches rather naked, tassels, leaves, and cones small. But in damp, rich soil it grows close and slender, and reaches a height at times of nearly a hundred feet.""","July 10, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 23",by Walter Siegmund -CC-BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Pinus_contorta_28263.JPG,\Nature\512px-Pinus_contorta_28263.JPG
Jefferey Pine (Pinus Jeffreyi),,,"""This variety of Pinus ponderosa isregarded as a distinct species, Pinus Jeffreyi, by some botanists.""","September 13, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 55",by Jhodlof - Public Domain,https://commons.wikimedia.org/wiki/File:Mature_Jeffrey_Pine.JPG,\Nature\512px-Mature_Jeffrey_Pine.JPG
Wild Rye (Elymus Canadenis),,,""" I came to a patch of elymus, or wild rye, growing in magnificent waving clumps six or eight feet high,bearing heads six to eight inches long. The crop was ripe, and Indian women were gathering the grain in baskets by bending down largehandfuls, beating out the seed, and fanning it in the wind. The grains are about five eighths of an inch long, dark-colored and sweet. Ifancy the bread made from it must be as good as wheat bread. ""","August 21, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 48",by Crazytwoknobs - CC-BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Elymus_canadensisEVB.jpg,\Nature\WildRye_Elymus_canadensisEVB.jpg
Primula suffruticosa,,,"""s. Beds of azure daisies smile confidingly in moist hollows, and along the banks of smallrills, with several species of eriogonum, silky-leaved ivesia, pentstemon, orthocarpus, and patches of Primula suffruticosa, a beautifulshrubby species""","July 26, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 33",by Miguel Vieira - CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Primulasuffrutescens.jpg,\Nature\512px-Primulasuffrutescens.jpg
Sierra Juniper (Juniperus Occidentalis),,,"""A still hardier mountaineer is the Sierra juniper (Juniperus occidentalis), growing mostly on domes and ridges and glacier pavements. A thickset, sturdy, picturesque highlander, seemingly content to live for more than a score of centuries on sunshine and snow; a truly wonderful fellow, dogged endurance expressed in every feature, lasting about as long as the granite he stands on. Some are nearly as broad as high. I saw one on the shore of the lake nearly ten feet in diameter, and many six to eight feet. The bark, cinnamon-colored, flakes off in long ribbon-like strips with a satiny lustre. Surely the most enduring of all tree mountaineers, it never seems to die a natural death, or even to fall after it has been killed. ""","July 27, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 36",by Walter Siegmund - CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Juniperus_occidentalis_8247.jpg/360px-Juniperus_occidentalis_8247.jpg,\Nature\360px-Juniperus_occidentalis_8247.jpg
Dwarf Pine (Pinus Albicaulis),,,"""The two pines also are brave stormenduring trees, the mountain pine (Pinus monticola) and the dwarf pine (Pinus albicaulis). The mountain pine is closely related to the sugar pine, though the cones are only about four to six inches long. The largest trees are from five to six feet in diameter at four feet above the ground, the bark rich brown. Only a few storm-beaten adventurers approach the summit of the mountain. The dwarf or white-bark pine is the species that forms the timber-line, where it is so completely dwarfed that one may walk over the top of a bed of it as over snow-pressed chaparral.""","July 26, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 34",Public Domain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Whitebark_pine_group.jpg/360px-Whitebark_pine_group.jpg,\Nature\360px-Whitebark_pine_group.jpg
White Fir (Abies concolor),,,"""Abies concolor, attains nearly as great a height and thickness as the magnifica, but the branches do not form such regular whorls, nor are they so exactly pinnated or richly leaf-clad. Instead of growing all around the branchlets, the leaves are mostly arranged in two flat horizontal rows. The cones and seeds are like those of the magnifica in form but less than half as large. The bark of the magnifica is reddish purple and closely furrowed, that of the concolor gray and widely furrowed.""","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 22",by Puncsos  - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/Abies_concolor#/media/File:Abies_concolor_Yosemite_NP.jpg,\Nature\259px-Abies_concolor_Yosemite_NP.jpg
Pacific Silver Fir (Abies amabilis),,,"""The silver firs (Abies concolor and A. magnifica) are exceedingly beautiful, especially the magnifica, which becomes more abundant the higher we go. It is of great size, one of the most notable in every way of the giant conifers of the Sierra. I saw specimens that measured seven feet in diameter and over two hundred feet in height, while the average size for what might be called full-grown mature trees can hardly be less than one hundred and eighty or two hundred feet high and five or six feet in diameter; and with these noble dimensions there is a symmetry and perfection of finish not to be seen in any other tree, hereabout at least. The branches are whorled in fives mostly, and stand out from the tall, straight, exquisitely tapered bole in level collars, each branch regularly pinnated like the fronds of ferns, and densely clad with leaves all around the branchlets, thus giving them a singularly rich and sumptuous appearance. The extreme top of the tree is a thick blunt shoot pointing straight to the zenith like an admonishing finger. The cones stand erect like casks on the upper branches. They are about six inches long, three in diameter, blunt, velvety, and cylindrical in form, and very rich and precious looking. The seeds are about three quarters of an inch long, dark reddish brown with brilliant iridescent purple wings, and when ripe, the cone falls to pieces, and the seeds thus set free at a height of one hundred and fifty or two hundred feet have a good send off and may fly considerable distances in a good breeze; and it is when a good breeze is blowing that most of them are shaken free to fly""`","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 21",by Mkauffmann - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Pacific_silver_fir_and_English_Peak.jpg,\Nature\512px-Pacific_silver_fir.jpg
Red Fir (Abies magnifica),,,""" The annual rings of the trunk that have overgrown the dead sapling tell the year of the storm. Wonderful that a side branch forming a portion of one of the level collars that encircle the trunk of this species (Abies magnifica) should bend upward, grow erect, and take the place of the lost axis to form a new tree.""","July 22, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 31",CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Red_fir.jpg,\Nature\512px_Red_fir.jpg
