title,location,gps,description,date,webURI,copyright,imageSource,imageURI
Patrick Delaney's Ranch,"south of La Grange, CA",,"""The home ranch from which we set out is on the south side of the Tuolumne River near French Bar, where the foothills of metamorphic gold-bearing slates dip below the stratified deposits of the Central Valley.""","June 3, 1869 ",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[CC-BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/deed.en],https://commons.wikimedia.org/wiki/File:La_Grange_Reservoir_from_the_top_of_the_New_Don_Pedro_Dam.jpg,\MyFirstSummerRoute\LaGrangeReservoir_TopNewDonPedroDam.jpg
First Bench - Horseshoe Bend,"Horseshoe Bend Recreational Area near Coulterville, along HWY 132",,"June 5, 1869 ""This morning a few hours after setting out with the crawling sheep-cloud, we gained the summit of the first well-defined bench on the mountain-flank at Pino Blanco. The Sabine pines interest me greatly. They are so airy and strangely palm-like I was eager to sketch them, and was in a fever of excitement without accomplishing much. I managed to halt long enough, however, to make a tolerably fair sketch of Pino Blanco peak from the southwest side, where there is a small field and vineyard irrigated by a stream that makes a pretty fall on its way down a gorge by the roadside.After gaining the open summit of this first bench, feeling the natural exhilaration due to the slight elevation of a thousand feet or so, and the hopes excited concerning the outlook to be obtained, a magnificent section of the Merced Valley at what is called Horse shoe Bend came full in sight, --a glorious wilderness that seemed to be calling with a thousand songful voices.""  ","June 5, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[Public Domain],https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,\MyFirstSummerRoute\JohnMuirSketch_FirstBench-HorseshoeBend_MFS_Ch1_18.jpg
Second Bench - Greeley Hill,"Edge of the main forest belt, south of the Greeley Hill store, above Coulterville",,"June 6, 1869 ""We are now on what may be called the second bench or plateau of the Range, after making many small ups and downs over belts of hill-waves, with, of course, corresponding changes in the vegetation. In open spots many of the lowland composit are still to be found, and some of the Mariposa tulips and other conspicuous members of the lily family; but the characteristic blue oak of the foothills is left below, and its place is taken by a fine large species (Quercus Californica) with deeply lobed deciduous leaves, picturesquely divided trunk, and broad, massy, finely lobed and modeled head. Here also at a height of about twenty-five hundred feet we come to the edge of the great coniferous forest, made up mostly of yellow pine with just a few sugar pines. We are now in the mountains and they are in us, kindling enthusiasm, making every nerve quiver, filling every pore and cell of us. Our flesh-and-bone tabernacle seems transparent as glass to the beauty about us, as if truly an inseparable part of it, thrilling with the air and trees, streams and rocks, in the waves of the sun, --a part of all nature, neither old nor young, sick nor well, but immortal. Just now I can hardly conceive of any bodily condition dependent on food or breath any more than the ground or the sky.""","June 6, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[Public Domain],https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,\MyFirstSummerRoute\JohnMuirSketch_SecondBenc_MFS_Ch1_21.jpg
Herding and The Travel Companions ,Mr. Delaney Ranch - near La Grange,,"Muir decribes why and how he begins his journey:""While I was anxiously brooding on the breadproblem, so troublesome to wanderers, and trying to believe that I might learn to live like the wild animals, gleaning nourishment hereand there from seeds, berries, etc., sauntering and climbing in joyful independence of money or baggage, Mr. Delaney, a sheep-owner,for whom I had worked a few weeks, called on me, and offered to engage me to go with his shepherd and flock to the headwaters of the Merced and Tuolumne rivers, —the very region I had most in mind. I was in the mood to accept work of any kind that would take meinto the mountains whose treasures I had tasted last summer in the Yosemite region. The flock, he explained, would be moved gradually higher through the successive forest belts as the snow melted, stopping for a few weeks at the best places we came to""As John Muir begins his trip he describes all of his travel campanions. During this trip, Muir provides an insight of Yosemite and his personal experiences as a hereder. June 3, 1869:  ""Mr. Delaney, bony and tall, with sharply hacked profile like Don Quixote, leading the pack-horses, Billy, the proud shepherd, a Chinaman and a Digger Indian to assist in driving for the first few days in thebrushy foothills, and myself with notebook tied to my belt.""                                                   ""The Chinamanseemed to think we were lost, and chattered in pidgin English concerning the abundance of ""litty stick"" (chaparral), while the Indiansilently scanned the billowy ridges and gulches for openings. Pushing through the thorny jungle, we at length discovered a road trending toward Coulterville, which we followed until an hour before sunset, when we reached a dry ranch and camped for the night.""    June 4, 1869                               ""Billy and the Indian and the Chinaman kept them headed along the weary road,and allowed them to pick up what little they could find on a breadth of about a quarter of a mile. But as several flocks had already goneahead of us, scarce a leaf, green or dry, was left; therefore the starving flock had to be hurried on over the bare, hot hills to the nearest of the green pastures, about twenty or thirty miles from here.""                                                                                          ""The nuts, the Don tells me, are gathered in large quantities by the Digger Indians for food. They are about as large and hard-shelled as hazelnuts, —food and fire fit for the gods from the same fruit.""   "," June 3, 1869: ",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[Public Domain],https://commons.wikimedia.org/w/index.php?curid=16818,\MyFirstSummerRoute\505px-Flock_of_sheep.jpg
Locals at Brown's Flat ,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"A June journal entry from John Muir reveals an ongoing conflict bewteen the local Miwoks and the Paiute people. The Mono Lake Paiute people began moving West from the Eastern Sierras at the end of the 1800's and beginning of the 19th c. which created tribal rivalries. Muir's tone when speaking about the Miwoks certainly reflects the more ethnocentric views of his time, however it does provide historical insight that is constantly reinterpreted with new evidence.  June 7, 1869:""Brown had left his mountain home ere we arrived, but a considerable number of Digger Indians still linger in their cedar-bark huts on the edge of the flat. They were attracted in the first place by the white hunter whom they had learned to respect, and to whom they looked for guidance and protection against their enemies the Pah Utes, who sometimes made raids across from the east side of the Range to plunder the stores of the comparatively feeble Diggers and steal their wives.""The name ""Digger Indians"" is now widely considered an offensive slur, and some modern descedents prefer to be called by the name of their individual band/tribe as opposed to ""Miwok People"" or ""Yokuts People"". ","June 7, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[Public Domain],"https://commons.wikimedia.org/wiki/File:Yo_Semite_Valley_Digger_Indians,_Cal,_by_Reilly,_John_James,_1839-1894.jpg",\MyFirstSummerRoute\YoSemiteValley_CA_DiggerIndians_byReillyJohnJames_1839-1894.jpg
Bears in Brown's Flat,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"John Muir describes Brown's Flat (according to John Fiske this place is now McCauley's), he goes into detail about the famous bear hunter and the dog . This description  highlights the importance of the dog ""Sandy"" in hunting bears much like ""Carlos"" the saint benard that helps Muir.June 7th, 1869""Here the adventurous pioneer David Brown made his headquarters for many years, dividing his time between gold-hunting and bear-hunting. Where could lonely hunter find a better solitude? Game in the woods, gold in the rocks, health and exhilaration in the air, while the colors and cloud furniture of the sky are ever inspiring through all sorts of weather. Though sternly practical, like most pioneers, old David seems to have been uncommonly fond of scenery. Mr. Delaney, who knew him well, tells me that he dearly loved to climb to the summit of a commanding ridge to gaze abroad over the forest to the snow-clad peaks andsources of the rivers, and over the foreground valleys and gulches to note where miners were at work or claims were abandoned, judging by smoke from cabins and camp-fires, the sounds of axes, etc.; and when a rifle-shot was heard, to guess who was the hunter, whether Indian or some poacher on his wide domain. His dog Sandy accompanied him everywhere, and well the little hairy mountaineer knew and loved his master and his master's aims. In deer-hunting he had but little to do, trotting behind his master as he slowly made his way through the wood, careful not to step heavily on dry twigs, scanning open spots in the chaparral, where the game loves to feed in the early morning and towards sunset; peering cautiously over ridges as new outlooks were reached, and along the meadowy bordersof streams. But when bears were hunted, little Sandy became more important, and it was as a bear-hunter that Brown became famous."" ","June 7, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[CC BY-SA 2.0 https://creativecommons.org/licenses/by-sa/2.0/deed.en] ,https://commons.wikimedia.org/wiki/File:Grizzly_Bear_(Ursus_arctos_ssp.).jpg,\MyFirstSummerRoute\512px-GrizzlyBear_UrsusArctos.jpg
Bower Cave,"Bower Cave, Bull Creek Road , 95311, Coulterville, California, United States",,"John Muir on June 7th, 1869 comes across Bower's Cave. It was a popular attraction for tourist heading toward Yosemite.""This curious specimen of subterranean scenery is located on a belt of marble that is said to extend from the north end of the Range to the extreme south. Many other caves occur on the belt, but none like this, as far as I have learned, combiningas it does sunny outdoor brightness and vegetation with the crystalline beauty of the under-world. It is claimed by a Frenchman, who has fenced and locked it, placed a boat on the lakelet and seats on the mossy bank under the maple trees, and charges a dollar admission fee. Being on one of the ways to the Yosemite Valley, a good many tourists visit it during the travel months of summer, regarding it as an interesting addition to their Yosemite wonders.""""Before noon we passed Bower Cave, a delightful marble palace, not dark and dripping, but filled with sunshine, which pours into it through its wide-open mouth facing south. It has a fine deep, clear little lake with mossy banks empoered with broad-leaved malpes, all under ground, wholly unlike anything I have seen in the cave line even in Kentucky, where a large part of the state is honeycombed with caves."" ","June 7, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx,[Public Domain],"https://commons.wikimedia.org/wiki/File:Bower_Cave,_Yosemite,_from_Robert_N._Dennis_collection_of_stereoscopic_views_2.jpg",\MyFirstSummerRoute\640px-BowerCave_Yosemite_byRobert_N.Dennis_stereoscopic_view.jpg
Native American Insight,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"Muir describes the history of the ""digger indians"" as the trip progresses, he holds some ethnocentric view of the Miwoks, Maidu, and Yokuts. June 7th, 1869:""Brown had left his mountain home ere we arrived, but a considerable number of Digger Indians still linger in their cedar-bark huts on the edge of the flat. They were attracted in the first place by the white hunter whom they had learned to respect, and to whom they looked for guidance and protection against their enemies the Pah Utes, who sometimes made raids across from th east side of the Range to plunder the stores of the comparatively feeble Diggers and steal their wives."" June 11th, 1869:""Mr. Delaney has gone back to the plains, taking the Indian and Chinaman with him, leaving instruction to keep the flock here or hereabouts until his return, which he promised would not be long delayed.""June 13th, 1869:Muir is describing  Jet Black Ants and how the Native Americans eat them.""This wonderful electric species is about three fourths of an inch long. Bears are fond of them, and tear and gnaw their home-logs to pieces, and roughly devour the eggs, larv, parent ants, and the rotten or sound wood of the cells, all in one spicy acid hash. The Digger Indians also are fond of the larv and even of the perfect ants, so I have been told by old mountaineers. They bite off and reject the head, and eat the tickly acid body with keen relish. Thus are the poor biters bitten, like every other biter, big or little, in the world's great family."" ","June 7, 1869; June 11-13, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_1.aspx; https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx ,[Public Domain],"https://commons.wikimedia.org/wiki/File:Digger_Indian_squaw._Yosemite,_Calif.(no._597),_by_Thomas_Houseworth_%26_Co..jpg",\MyFirstSummerRoute\DiggerIndian_squaw_YosemiteCA.(no._597)byThomasHouseworth&Co.jpg
Camp North Fork of the Merced,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"June 8, 1869 ""The sheep, now grassy and good natured, slowly nibbled their way down into the valley of the North Fork of the Merced at the foot of Pilot Peak Ridge to the place selected by the Don for our first central camp, a picturesque hopper-shaped hollow formed by converging hill-slopes at a bend of the river. Here racks for dishes and provisions were made in the shade of the river-bank trees, and beds of fern fronds, cedar plumes, and various flowers, each to the taste of its owner, and a corral back on the open flat for the wool.""","June 8, 1868",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,[Public Domain],https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,\MyFirstSummerRoute\JohnMuirSketch_NorthForkMerced_MFS_Ch1_41.jpg
Altar Rock,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"June 14, 1869""One of these ancient flood boulders stands firm in the middle of the stream channel, just below the lower edge of the pool dam at the foot of the fall nearest our camp. It is a nearly cubical mass of granite about eight feet high, plushed with mosses over the top and down the sides to ordinary high-water mark. When I climbed on top of it to-day and lay down to rest, it seemed the most romantic spot I had yet found, --the one big stone with its mossy level top and smooth sides standing square and firm and solitary, like an altar, the fall in front of it bathing it lightly with the finest of the spray, just enough to keep its moss cover fresh; the clear green pool beneath, with its foam-bells and its half circle of lilies leaning forward like a band of admirers, and flowering dogwood and alder trees leaning over all in sun-sifted arches. How soothingly, restfully cool it is beneath that leafy, translucent ceiling, and how delightful the water music--the deep bass tones of the fall, the clashing, ringing spray, and infinite variety of small low tones of the current gliding past the side of the boulder-island, and glinting against a thousand smaller stones down the ferny channel! All this shut in; every one of these influences acting at short range as if in a quiet room. The place seemed holy, where one might hope to see God.After dark, when the camp was at rest, I groped my way back to the altar boulder and passed the night on it, --above the water, beneath the leaves and stars, --everything still more impressive than by day, the fall seen dimly white, singing Nature's old love song with solemn enthusiasm, while the stars peering through the leaf-roof seemed to join in the white water's song. Precious night, precious day to abide in me forever. Thanks be to God for this immortal gift.""","June 14, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,Courtesy of Ken Pulvino - https://www.flickr.com/photos/ghrancher/15841521304/in/album-72157648363306493/,https://www.flickr.com/photos/ghrancher/15843653803/in/album-72157648363306493/,\MyFirstSummerRoute\Altar-Rock_ByKenPulvino.jpg
